age,job,marital,edu,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,unemployed,married,primary,no,0.6624789049315583,no,no,cellular,19,oct,0.11346444780635401,1,-1,0,unknown,no
35,management,single,tertiary,no,0.5805362835177199,yes,no,cellular,16,apr,0.27382753403933435,1,330,1,failure,no
30,management,married,tertiary,no,0.6041627601725108,yes,yes,unknown,3,jun,0.2950075642965204,4,-1,0,unknown,no
59,blue-collar,married,secondary,no,0.32739546221638854,yes,no,unknown,5,may,0.3358547655068079,1,-1,0,unknown,no
35,management,single,tertiary,no,0.46746671666979184,no,no,cellular,23,feb,0.20726172465960666,2,176,3,failure,no
36,self-employed,married,tertiary,no,0.3849615600975061,yes,no,cellular,14,may,0.5098335854765507,1,330,2,other,no
39,technician,married,secondary,no,0.3549596849803113,yes,no,cellular,6,may,0.22239031770045387,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,0.36883555222201386,yes,no,unknown,14,may,0.08018154311649017,2,-1,0,unknown,no
43,services,married,primary,no,0.31089443090193136,yes,yes,cellular,17,apr,0.46747352496217853,1,147,2,failure,no
43,admin.,married,secondary,no,0.37689855615976,yes,no,cellular,17,apr,0.1649016641452345,2,-1,0,unknown,no
36,technician,married,tertiary,no,0.5353459591224452,no,no,cellular,13,aug,0.49016641452344933,2,-1,0,unknown,no
20,student,single,secondary,no,0.4215263453965873,no,no,cellular,30,apr,0.3888048411497731,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,0.3948996812300769,yes,yes,cellular,29,jan,0.12859304084720122,1,241,1,failure,no
40,management,married,tertiary,no,0.36377273579598723,no,yes,cellular,29,aug,0.27987897125567324,2,-1,0,unknown,no
37,admin.,single,tertiary,no,0.7618601162572661,yes,no,cellular,20,apr,0.1664145234493192,1,152,2,failure,no
25,blue-collar,single,primary,no,0.28595537221076317,yes,no,unknown,23,may,0.3721633888048411,1,-1,0,unknown,no
31,services,married,secondary,no,0.35214700918807423,no,no,cellular,7,jul,0.2178517397881997,1,152,1,other,no
38,management,divorced,unknown,no,0.32739546221638854,yes,no,cellular,18,nov,0.13918305597579425,2,-1,0,unknown,no
42,management,divorced,tertiary,no,0.33039564972810803,no,no,cellular,19,nov,0.20574886535552195,3,-1,0,unknown,no
44,services,single,secondary,no,0.3472717044815301,no,no,unknown,12,jun,0.1588502269288956,2,-1,0,unknown,no
44,entrepreneur,married,secondary,no,0.344834052128258,no,no,cellular,7,jul,0.18305597579425115,2,-1,0,unknown,no
26,housemaid,married,tertiary,no,0.42921432589536845,no,no,cellular,30,jan,0.24962178517397882,3,-1,0,unknown,no
55,blue-collar,married,primary,no,0.44496531033189574,yes,no,unknown,5,may,0.367624810892587,1,-1,0,unknown,no
67,retired,married,unknown,no,0.45790361897618603,no,no,telephone,17,aug,0.17397881996974282,1,105,2,failure,no
56,self-employed,married,secondary,no,0.47440465029064316,no,yes,cellular,30,jul,0.21936459909228442,2,-1,0,unknown,no
53,admin.,married,secondary,no,0.3470841927620476,no,yes,cellular,21,aug,0.1059001512859304,2,-1,0,unknown,no
31,technician,married,secondary,no,0.3594599662478905,no,no,cellular,27,aug,0.11649016641452345,3,-1,0,unknown,no
59,management,married,secondary,no,0.33527095443465216,no,no,cellular,21,nov,0.05446293494704992,1,-1,0,unknown,no
49,technician,married,tertiary,no,0.5589724357772361,no,no,cellular,13,aug,0.529500756429652,3,-1,0,unknown,yes
42,admin.,divorced,secondary,no,0.6669791861991374,yes,no,unknown,14,may,0.22087745839636913,1,-1,0,unknown,no
78,retired,divorced,primary,no,0.3703356459778736,no,no,telephone,22,oct,0.14069591527987896,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,0.7191074442152634,yes,no,cellular,14,nov,0.19364599092284418,1,-1,0,unknown,yes
23,services,single,tertiary,no,0.3954622163885243,yes,no,unknown,30,may,0.018154311649016642,18,-1,0,unknown,no
36,management,single,tertiary,no,0.43108944309019315,no,no,cellular,11,aug,0.15431164901664146,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,0.5368460528783049,yes,no,cellular,13,may,0.546142208774584,1,-1,0,unknown,no
32,technician,married,tertiary,no,0.4016501031314457,yes,no,cellular,13,may,0.3040847201210287,3,-1,0,unknown,no
32,technician,single,tertiary,no,0.7406712919557472,yes,no,cellular,21,nov,0.01059001512859304,4,-1,0,unknown,no
34,management,single,tertiary,no,0.49090568160510034,yes,no,unknown,7,may,0.15279878971255673,2,-1,0,unknown,no
55,blue-collar,married,primary,no,0.3545846615413463,no,no,telephone,2,feb,0.0832072617246596,3,5,2,other,no
26,blue-collar,married,primary,no,0.32739546221638854,yes,no,unknown,21,may,0.6369137670196672,1,-1,0,unknown,no
32,entrepreneur,single,primary,yes,0.16819801237577348,yes,yes,cellular,4,feb,0.30257186081694404,1,-1,0,unknown,no
38,technician,single,secondary,no,0.3367710481905119,no,no,cellular,29,aug,0.1422087745839637,2,-1,0,unknown,no
34,technician,married,tertiary,no,0.6159759984999063,yes,no,cellular,15,jun,0.6611195158850227,1,56,1,other,yes
53,blue-collar,married,secondary,no,0.7457341083817739,yes,no,cellular,14,jul,0.405446293494705,3,-1,0,unknown,no
48,admin.,married,secondary,no,0.9019313707106694,yes,no,telephone,15,jul,0.2344931921331316,2,-1,0,unknown,no
57,management,married,secondary,no,0.3427714232139509,no,yes,telephone,4,feb,0.20574886535552195,1,-1,0,unknown,no
