@RELATION bank

@ATTRIBUTE age           numeric
@ATTRIBUTE job           {admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown}
@ATTRIBUTE marital       {divorced,married,single}
@ATTRIBUTE edu           {primary,secondary,tertiary,unknown}
@ATTRIBUTE balance       numeric
@ATTRIBUTE housing       {yes,no}
@ATTRIBUTE contact       {cellular,telephone,unknown}
@ATTRIBUTE day           {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@ATTRIBUTE month         {jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec}
@ATTRIBUTE duration      numeric
@ATTRIBUTE campaign      numeric
@ATTRIBUTE pdays         numeric
@ATTRIBUTE previous      numeric
@ATTRIBUTE poutcome      {failure,other,success,unknown}
@ATTRIBUTE y             {yes,no}

@DATA
30,unemployed,married,primary,0.49804796430563303,no,cellular,19,oct,0.11346444780635401,1,-1,0,unknown,no
35,management,single,tertiary,0.3761851645287228,yes,cellular,16,apr,0.27382753403933435,1,330,1,failure,no
30,management,married,tertiary,0.4113218070273285,yes,unknown,3,jun,0.2950075642965204,4,-1,0,unknown,no
35,management,single,tertiary,0.20803123257110986,no,cellular,23,feb,0.20726172465960666,2,176,3,failure,no
36,self-employed,married,tertiary,0.08533184606804238,yes,cellular,14,may,0.5098335854765507,1,330,2,other,no
39,technician,married,secondary,0.04071388733965421,yes,cellular,6,may,0.22239031770045387,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,0.06134969325153374,yes,unknown,14,may,0.08018154311649017,2,-1,0,unknown,no
43,admin.,married,secondary,0.07334076965978807,yes,cellular,17,apr,0.1649016641452345,2,-1,0,unknown,no
36,technician,married,tertiary,0.3089793641940881,no,cellular,13,aug,0.49016641452344933,2,-1,0,unknown,no
20,student,single,secondary,0.13970998326826548,no,cellular,30,apr,0.3888048411497731,1,-1,0,unknown,yes
31,blue-collar,married,secondary,0.10011154489682098,yes,cellular,29,jan,0.12859304084720122,1,241,1,failure,no
40,management,married,tertiary,0.05382041271611824,no,cellular,29,aug,0.27987897125567324,2,-1,0,unknown,no
37,admin.,single,tertiary,0.6458449525934189,yes,cellular,20,apr,0.1664145234493192,1,152,2,failure,no
31,services,married,secondary,0.03653095370886782,no,cellular,7,jul,0.2178517397881997,1,152,1,other,no
42,management,divorced,tertiary,0.004182933630786392,no,cellular,19,nov,0.20574886535552195,3,-1,0,unknown,no
44,services,single,secondary,0.02928053541550474,no,unknown,12,jun,0.1588502269288956,2,-1,0,unknown,no
44,entrepreneur,married,secondary,0.025655326268823202,no,cellular,7,jul,0.18305597579425115,2,-1,0,unknown,no
26,housemaid,married,tertiary,0.15114333519241493,no,cellular,30,jan,0.24962178517397882,3,-1,0,unknown,no
