@RELATION bank

@ATTRIBUTE age           numeric
@ATTRIBUTE job           {admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown}
@ATTRIBUTE marital       {divorced,married,single}
@ATTRIBUTE edu           {primary,secondary,tertiary,unknown}
@ATTRIBUTE default       {yes,no}
@ATTRIBUTE balance       numeric
@ATTRIBUTE housing       {yes,no}
@ATTRIBUTE loan          {yes,no}
@ATTRIBUTE contact       {cellular,telephone,unknown}
@ATTRIBUTE day           {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@ATTRIBUTE month         {jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec}
@ATTRIBUTE duration      numeric
@ATTRIBUTE campaign      numeric
@ATTRIBUTE pdays         numeric
@ATTRIBUTE previous      numeric
@ATTRIBUTE poutcome      {failure,other,success,unknown}
@ATTRIBUTE y             {yes,no}

@DATA
30,unemployed,married,primary,no,0.49804796430563303,no,no,cellular,19,oct,0.11346444780635401,1,-1,0,unknown,no
35,management,single,tertiary,no,0.3761851645287228,yes,no,cellular,16,apr,0.27382753403933435,1,330,1,failure,no
30,management,married,tertiary,no,0.4113218070273285,yes,yes,unknown,3,jun,0.2950075642965204,4,-1,0,unknown,no
35,management,single,tertiary,no,0.20803123257110986,no,no,cellular,23,feb,0.20726172465960666,2,176,3,failure,no
36,self-employed,married,tertiary,no,0.08533184606804238,yes,no,cellular,14,may,0.5098335854765507,1,330,2,other,no
39,technician,married,secondary,no,0.04071388733965421,yes,no,cellular,6,may,0.22239031770045387,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,0.06134969325153374,yes,no,unknown,14,may,0.08018154311649017,2,-1,0,unknown,no
43,admin.,married,secondary,no,0.07334076965978807,yes,no,cellular,17,apr,0.1649016641452345,2,-1,0,unknown,no
36,technician,married,tertiary,no,0.3089793641940881,no,no,cellular,13,aug,0.49016641452344933,2,-1,0,unknown,no
20,student,single,secondary,no,0.13970998326826548,no,no,cellular,30,apr,0.3888048411497731,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,0.10011154489682098,yes,yes,cellular,29,jan,0.12859304084720122,1,241,1,failure,no
40,management,married,tertiary,no,0.05382041271611824,no,yes,cellular,29,aug,0.27987897125567324,2,-1,0,unknown,no
37,admin.,single,tertiary,no,0.6458449525934189,yes,no,cellular,20,apr,0.1664145234493192,1,152,2,failure,no
31,services,married,secondary,no,0.03653095370886782,no,no,cellular,7,jul,0.2178517397881997,1,152,1,other,no
42,management,divorced,tertiary,no,0.004182933630786392,no,no,cellular,19,nov,0.20574886535552195,3,-1,0,unknown,no
44,services,single,secondary,no,0.02928053541550474,no,no,unknown,12,jun,0.1588502269288956,2,-1,0,unknown,no
44,entrepreneur,married,secondary,no,0.025655326268823202,no,no,cellular,7,jul,0.18305597579425115,2,-1,0,unknown,no
26,housemaid,married,tertiary,no,0.15114333519241493,no,no,cellular,30,jan,0.24962178517397882,3,-1,0,unknown,no
55,blue-collar,married,primary,no,0.17456776352481873,yes,no,unknown,5,may,0.367624810892587,1,-1,0,unknown,no
67,retired,married,unknown,no,0.19380925822643613,no,no,telephone,17,aug,0.17397881996974282,1,105,2,failure,no
56,self-employed,married,secondary,no,0.21834913552704963,no,yes,cellular,30,jul,0.21936459909228442,2,-1,0,unknown,no
53,admin.,married,secondary,no,0.029001673173452314,no,yes,cellular,21,aug,0.1059001512859304,2,-1,0,unknown,no
31,technician,married,secondary,no,0.047406581148912434,no,no,cellular,27,aug,0.11649016641452345,3,-1,0,unknown,no
59,management,married,secondary,no,0.01143335192414947,no,no,cellular,21,nov,0.05446293494704992,1,-1,0,unknown,no
49,technician,married,tertiary,no,0.3441160066926938,no,no,cellular,13,aug,0.529500756429652,3,-1,0,unknown,yes
42,admin.,divorced,secondary,no,0.5047406581148912,yes,no,unknown,14,may,0.22087745839636913,1,-1,0,unknown,no
78,retired,divorced,primary,no,0.06358059118795314,no,no,telephone,22,oct,0.14069591527987896,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,0.5822643614054657,yes,no,cellular,14,nov,0.19364599092284418,1,-1,0,unknown,yes
23,services,single,tertiary,no,0.10094813162297825,yes,no,unknown,30,may,0.018154311649016642,18,-1,0,unknown,no
36,management,single,tertiary,no,0.1539319576129392,no,no,cellular,11,aug,0.15431164901664146,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,0.3112102621305075,yes,no,cellular,13,may,0.546142208774584,1,-1,0,unknown,no
32,technician,married,tertiary,no,0.11015058561070831,yes,no,cellular,13,may,0.3040847201210287,3,-1,0,unknown,no
32,technician,single,tertiary,no,0.6143335192414947,yes,no,cellular,21,nov,0.01059001512859304,4,-1,0,unknown,no
34,management,single,tertiary,no,0.24288901282766315,yes,no,unknown,7,may,0.15279878971255673,2,-1,0,unknown,no
55,blue-collar,married,primary,no,0.040156162855549356,no,no,telephone,2,feb,0.0832072617246596,3,5,2,other,no
38,technician,single,secondary,no,0.013664249860568878,no,no,cellular,29,aug,0.1422087745839637,2,-1,0,unknown,no
34,technician,married,tertiary,no,0.42889012827663137,yes,no,cellular,15,jun,0.6611195158850227,1,56,1,other,yes
53,blue-collar,married,secondary,no,0.6218627997769102,yes,no,cellular,14,jul,0.405446293494705,3,-1,0,unknown,no
48,admin.,married,secondary,no,0.8541550474065811,yes,no,telephone,15,jul,0.2344931921331316,2,-1,0,unknown,no
57,management,married,secondary,no,0.022587841606246516,no,yes,telephone,4,feb,0.20574886535552195,1,-1,0,unknown,no
33,self-employed,single,tertiary,no,0.6006692693809258,no,no,cellular,17,nov,0.4402420574886536,1,-1,0,unknown,no
36,retired,single,secondary,no,0.02788622420524261,yes,yes,unknown,26,may,0.4689863842662632,1,-1,0,unknown,no
54,technician,divorced,secondary,no,0.21834913552704963,yes,yes,unknown,15,may,0.869894099848714,1,-1,0,unknown,no
63,retired,married,secondary,no,0.1154489682097044,yes,no,cellular,7,oct,0.4826021180030257,1,-1,0,unknown,no
48,services,married,secondary,no,0.3775794757389849,no,no,cellular,4,jul,0.19667170953101362,2,-1,0,unknown,no
51,blue-collar,divorced,secondary,no,0.05633017289459007,yes,no,cellular,8,may,0.19667170953101362,1,170,5,failure,no
31,services,married,secondary,no,0.0939765755716676,yes,no,cellular,28,jan,0.22844175491679275,1,-1,0,unknown,no
29,technician,married,secondary,no,0.12353597322922476,yes,no,cellular,21,jul,0.19062027231467474,4,-1,0,unknown,no
32,technician,single,tertiary,no,0.10011154489682098,no,no,cellular,19,nov,0.24205748865355523,2,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,yes,0.0002788622420524261,yes,no,unknown,5,may,0.5688350983358548,1,-1,0,unknown,no
41,services,married,tertiary,no,0.11461238148354713,yes,no,unknown,3,jun,0.22692889561270801,5,-1,0,unknown,no
56,retired,married,secondary,no,0.09564974902398216,yes,no,unknown,15,may,0.32829046898638425,1,-1,0,unknown,no
54,management,divorced,tertiary,no,0.8982152816508645,no,no,cellular,14,aug,0.09531013615733737,2,-1,0,unknown,no
